num_walks,walk_length,window,dropout,learning_rate,embeddings,validation,test
50,7,5,0.2,0.001,128,0.3139,0.2747
50,7,5,0.2,0.005,128,0.3109,0.2838
50,7,5,0.2,0.002,128,0.3097,0.2742
50,10,5,0.2,0.005,128,0.3054,0.2733
50,10,5,0.2,0.002,128,0.3027,0.2754
50,5,10,0.2,0.005,128,0.2954,0.2699
50,7,10,0.2,0.005,128,0.2951,0.2702
50,10,5,0.2,0.001,128,0.2936,0.2713
50,7,10,0.2,0.002,128,0.2935,0.2712
50,5,10,0.2,0.002,128,0.2925,0.2701
50,5,10,0.2,0.001,128,0.2912,0.2718
50,7,10,0.2,0.001,128,0.2894,0.2708
50,5,5,0.2,0.005,128,0.2885,0.2585
50,5,5,0.2,0.002,128,0.2885,0.2706
50,10,10,0.2,0.002,128,0.2882,0.2607
50,10,10,0.2,0.005,128,0.2871,0.2622
50,5,5,0.2,0.001,128,0.2865,0.2662
50,7,5,0.2,0.005,64,0.2811,0.2651
50,10,5,0.2,0.005,64,0.28,0.2565
50,10,10,0.2,0.001,128,0.2771,0.2518
50,5,5,0.2,0.005,64,0.2766,0.2422
50,7,5,0.2,0.002,64,0.2764,0.2599
50,10,5,0.2,0.001,64,0.2757,0.2497
50,10,5,0.2,0.002,64,0.2742,0.243
50,5,10,0.2,0.005,64,0.2739,0.2528
50,7,5,0.2,0.001,64,0.2727,0.2517
50,5,10,0.2,0.002,64,0.2719,0.252
50,5,5,0.2,0.002,64,0.2717,0.245
50,5,10,0.2,0.001,64,0.2711,0.251
50,5,5,0.2,0.001,64,0.2708,0.2446
50,7,10,0.2,0.002,64,0.2627,0.243
50,7,10,0.2,0.005,64,0.2596,0.2431
50,7,10,0.2,0.001,64,0.2588,0.2494
50,10,10,0.2,0.005,64,0.2576,0.2242
50,10,10,0.2,0.002,64,0.2526,0.2241
50,10,10,0.2,0.001,64,0.2518,0.2225
