num_walks,walk_length,window,dropout,learning_rate,Recall@10
50,5,5,0.2,0.001,0.1986
50,5,5,0.3,0.001,0.1986
50,5,5,0.2,0.005,0.1985
50,5,5,0.3,0.005,0.198
50,5,10,0.2,0.005,0.197
50,7,5,0.2,0.005,0.1963
50,5,5,0.0,0.005,0.1957
50,5,10,0.3,0.005,0.1951
50,7,5,0.2,0.001,0.1943
50,7,5,0.3,0.001,0.1926
50,5,5,0.0,0.001,0.1922
50,5,5,0.5,0.005,0.1921
50,5,5,0.5,0.001,0.1914
50,5,10,0.2,0.001,0.1908
50,7,5,0.3,0.005,0.1903
50,5,10,0.5,0.005,0.1895
50,5,10,0.3,0.001,0.1882
50,7,5,0.0,0.005,0.1877
50,7,5,0.0,0.001,0.1875
50,7,5,0.5,0.001,0.187
50,7,10,0.3,0.005,0.186
50,5,10,0.0,0.001,0.1855
50,7,5,0.5,0.005,0.1855
50,5,10,0.5,0.001,0.1847
50,7,10,0.2,0.005,0.1837
50,5,10,0.0,0.005,0.1829
50,7,10,0.3,0.001,0.1811
50,7,10,0.5,0.005,0.1796
50,7,10,0.2,0.001,0.1774
50,7,10,0.5,0.001,0.1757
50,7,10,0.0,0.005,0.172
50,7,10,0.0,0.001,0.168
