dropout_prob,embedding_size,learning_rate,validation,test
0.0,128,0.005,0.2433,0.2223
0.2,64,0.005,0.2431,0.2231
0.0,64,0.005,0.2372,0.2184
0.3,64,0.005,0.2372,0.2188
0.2,128,0.005,0.2365,0.2186
0.0,128,0.001,0.2352,0.211
0.2,128,0.001,0.2324,0.2133
0.4,128,0.005,0.2296,0.204
0.2,64,0.001,0.2292,0.208
0.2,64,0.01,0.2273,0.2048
0.3,128,0.001,0.2268,0.2109
0.4,128,0.001,0.2268,0.2091
0.3,64,0.001,0.2262,0.2043
0.0,64,0.01,0.2255,0.2028
0.3,128,0.005,0.2255,0.2115
0.4,64,0.005,0.224,0.2085
0.0,128,0.01,0.2226,0.2112
0.0,64,0.001,0.2207,0.1953
0.3,64,0.01,0.217,0.1949
0.4,64,0.001,0.2157,0.1916
0.4,64,0.01,0.2141,0.1923
0.3,128,0.01,0.2024,0.1895
0.2,128,0.01,0.2024,0.1871
0.4,128,0.01,0.2015,0.1836
